year,year_index,month,date,area,regnames,country_code,country_index,country,dengue_case,pre_case,mt,st,rh,cp,tp,si,c1,c2,c3,c4,c5,c6,c7,c8,Residential,Workplace,Transit,Park,Grocery,Retail,non_Residential,dengue_case.l1,proportion_year,proportion_season,GDP_per_capita,population,dengue_case.l1yr,cases2013-2019,proportion_annual
2020,7,1,2020/1/1,all,SEA,1,10,Thailand,3856,12880.00239,26.58802,26.932404,68.0525,5.525211673,6.972772441,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,4774,0.193785885,0.054086656,6502.647476,69799978,131157,676814,34469
2020,7,2,2020/2/1,all,SEA,1,10,Thailand,2774,9351.314187,27.09621,27.466948,62.78754,6.742578906,9.478048514,0,0,0,0,0,0,0,0,0,101.6666667,101.2666667,94.1333333,93.6,100.8,96.8,97.32,3856,0.193785885,0.038909851,6502.647476,69799978,131157,676814,34469
2020,7,3,2020/3/1,all,SEA,1,10,Thailand,2529,9856.163219,29.42389,30.124708,65.72816,30.85112068,34.93847859,35.90258065,46.77419355,27.41935484,53.22580645,32.25806452,0,11.82795699,14.51612903,53.22580645,107.4516129,89.2258065,72.7096774,77.6129032,95.3870968,81.2903226,83.2451613,2774,0.193785885,0.035473328,6502.647476,69799978,131157,676814,34469
2020,7,4,2020/4/1,all,SEA,1,10,Thailand,3107,13092.3164,29.91919,30.714632,66.8047,59.41470153,70.49735269,76.264,100,82.22222222,98.33333333,74.16666667,23.33333333,33.33333333,75,100,117.5666667,70.8666667,40.1666667,51.9666667,81.7333333,52.9333333,59.53333334,2529,0.193785885,0.043580716,6502.647476,69799978,131157,676814,34469
2020,7,5,2020/5/1,all,SEA,1,10,Thailand,5737,21120.55075,30.55429,31.109606,71.08701,92.375852,111.3007717,75,100,66.66666667,100,75,25,33.33333333,75,100,113.3225806,77.3548387,56.4516129,64.1290323,99.2903226,65.7419355,72.5935484,3107,0.193785885,0.080470733,6502.647476,69799978,131157,676814,34469
2020,7,6,2020/6/1,all,SEA,1,10,Thailand,9175,36569.78524,29.06065,28.842613,77.4785,135.261082,178.6933259,62.99333333,82.22222222,38.88888889,58.33333333,54.16666667,25,33.33333333,75,100,108.9,82.6666667,67.3333333,76.5666667,103.9,84.5666667,83.00666668,5737,0.193785885,0.128694262,6502.647476,69799978,131157,676814,34469
2020,7,7,2020/7/1,all,SEA,1,10,Thailand,15711,46906.58605,28.93933,28.764524,77.4315,148.1425083,177.5237081,52.78,33.33333333,33.33333333,50,50,25,33.33333333,75,75,105.516129,81.8387097,72.2580645,92.1935484,104.8064516,95.3870968,89.2967742,9175,0.193785885,0.220372267,6502.647476,69799978,131157,676814,34469
2020,7,8,2020/8/1,all,SEA,1,10,Thailand,12469,50629.87365,28.27756,27.597334,80.01927,133.5723974,219.9856551,51.16580645,33.33333333,33.33333333,50,50,25,33.33333333,60.48387097,75,104.1935484,89.2580645,71.8709677,83.2580645,100.2580645,92.3870968,87.4064516,15711,0.193785885,0.174897956,6502.647476,69799978,131157,676814,34469
2020,7,9,2020/9/1,all,SEA,1,10,Thailand,7902,38357.46172,28.26969,27.755451,82.05768,172.0615787,267.165916,46.386,33.33333333,33.33333333,50,50,5,33.33333333,37.5,75,102.8,88.3,73.7666667,82.4666667,98.7,91.2666667,86.90000002,12469,0.193785885,0.110838371,6502.647476,69799978,131157,676814,34469
2020,7,10,2020/10/1,all,SEA,1,10,Thailand,4281,32806.63249,26.34717,25.146692,83.35703,130.517032,280.0481111,47.22,33.33333333,33.33333333,50,50,0,33.33333333,50,75,101.7419355,87.9354839,72.8387097,77.2580645,97.5806452,88.3870968,84.80000002,7902,0.193785885,0.060047971,6502.647476,69799978,131157,676814,34469
