id,Residential,Workplace,Transit,Park,Grocery,Retail,School closing,Workplace closing,Concel public events,Restrictions on gathering size,Closing public transport,Stay at home requirement,Restrictions on internal movements,International travel controls
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.6666667,-1.2666667,5.8666667,6.4,-0.8,3.2,0,0,0,0,0,0,0,0
3,-7.4516129,10.7741935,27.2903226,22.3870968,4.6129032,18.7096774,46.77419355,27.41935484,53.22580645,32.25806452,0,11.82795699,14.51612903,53.22580645
4,-17.5666667,29.1333333,59.8333333,48.0333333,18.2666667,47.0666667,100,82.22222222,98.33333333,74.16666667,23.33333333,33.33333333,75,100
5,-13.3225806,22.6451613,43.5483871,35.8709677,0.7096774,34.2580645,100,66.66666667,100,75,25,33.33333333,75,100
6,-8.9,17.3333333,32.6666667,23.4333333,-3.9,15.4333333,82.22222222,38.88888889,58.33333333,54.16666667,25,33.33333333,75,100
7,-5.516129,18.1612903,27.7419355,7.8064516,-4.8064516,4.6129032,33.33333333,33.33333333,50,50,25,33.33333333,75,75
8,-4.1935484,10.7419355,28.1290323,16.7419355,-0.2580645,7.6129032,33.33333333,33.33333333,50,50,25,33.33333333,60.48387097,75
9,-2.8,11.7,26.2333333,17.5333333,1.3,8.7333333,33.33333333,33.33333333,50,50,5,33.33333333,37.5,75
10,-1.7419355,12.0645161,27.1612903,22.7419355,2.4193548,11.6129032,33.33333333,33.33333333,50,50,0,33.33333333,50,75
11,-0.2,11.8333333,22.7666667,17.9666667,-4.2333333,3.9,33.33333333,33.33333333,50,50,15,33.33333333,50,67.5
12,-1.7741935,11.6774194,27,13.2580645,-6.9677419,6,51.07526882,51.07526882,50,50,50,33.33333333,58.87096774,50
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-1.1333333,-8.9333333,6.8666667,0.4,-2.9333333,-0.3333333,0,0,0,0,0,0,0,0
15,-4.3548387,-0.1612903,17.7419355,4.9032258,3.5483871,13.3548387,41.93548387,26.88172043,37.09677419,6.451612903,6.451612903,4.301075269,6.451612903,33.87096774
16,-16.3333333,38.7,64.2666667,17.3666667,36.6,55.0666667,100,100,100,100,100,66.66666667,100,100
17,-6.4516129,10.2258065,38.2258065,9.2258065,11.8064516,27.1612903,84.94623656,69.89247312,100,88.70967742,43.5483871,6.451612903,54.83870968,100
18,-2.4,-1.5333333,21.4,5.5,0.4,9.0666667,34.44444444,0,100,50,0,0,0,72.5
19,-3.516129,0.9032258,21.3548387,4.5806452,-1.1612903,5.6451613,33.33333333,0,0,0,0,0,0,50
20,-4.7096774,5.0322581,20.0967742,7.9032258,-1.4193548,6.5483871,33.33333333,66.66666667,50,0,0,0,0,75
21,-4.9,6.1333333,23.5333333,9.8,3.4666667,7.8333333,33.33333333,66.66666667,50,0,0,0,0,75
22,-3.516129,10.9354839,27.1290323,26.4193548,4.483871,9.7741935,33.33333333,66.66666667,50,0,0,0,0,75
23,-3.1333333,6.1666667,30.0666667,26.3333333,4.8666667,11.7,32.22222222,66.66666667,48.33333333,0,0,0,0,51.66666667
24,-5.1612903,7.7096774,23.3870968,16.0645161,-3.9677419,8.7096774,0,66.66666667,0,0,0,0,0,100
25,0,0,0,0,0,0,8.064516129,0,0,0,0,0,0,7.258064516
26,-5.3333333,-1.6666667,10.4666667,8.1333333,6.4666667,8.5333333,91.95402299,0,56.89655172,0,0,0,43.96551724,75
27,-8.0322581,-1.3548387,24.2580645,17.0322581,11.7741935,22.0645161,100,19.35483871,78.22580645,9.677419355,12.90322581,0,78.22580645,83.06451613
28,-16.2,22.0333333,52.2,35.1,29.9,50.8333333,100,86.11111111,100,89.58333333,90,42.77777778,90.83333333,100
29,-5.516129,-5.4193548,5.7096774,27.3870968,-4.6129032,20.4193548,51.61290323,66.66666667,100,75,50,0,100,100
30,-3.7666667,-12.5333333,4.4333333,19.7,-6.6,13.4,33.33333333,66.66666667,75,75,50,0,75,95
31,-3.4516129,-1.7419355,3.8709677,13.0967742,-6.7096774,9.1612903,41.39784946,67.74193548,54.03225806,74.19354839,53.22580645,8.064516129,53.22580645,75
32,-7.0322581,2.6129032,20.9354839,21.3548387,-1.3870968,19.6129032,83.33333333,83.33333333,75,78.62903226,75,50,75,75
